,countryiso3code,country,date,life_expectancy,gdp_per_capita,health_expenditure,unemployment_rate,log_gdp,le_group,unem_group
132,,High income,2022,79.4267769342303,10324.5193124329,,5.672232196208,9.242276861048913,High,Low Unemployment
133,,High income,2022,79.4267769342303,10324.5193124329,,4.77300365505371,9.242276861048913,High,Low Unemployment
134,,High income,2022,79.4267769342303,10324.5193124329,,,9.242276861048913,High,
135,,High income,2022,79.4267769342303,10324.5193124329,,6.0139105551006,9.242276861048913,High,Low Unemployment
136,,High income,2022,79.4267769342303,10324.5193124329,618.84502765484,4.50967085383543,9.242276861048913,High,Low Unemployment
137,,High income,2022,79.4267769342303,10324.5193124329,618.84502765484,5.672232196208,9.242276861048913,High,Low Unemployment
138,,High income,2022,79.4267769342303,10324.5193124329,618.84502765484,4.77300365505371,9.242276861048913,High,Low Unemployment
139,,High income,2022,79.4267769342303,10324.5193124329,618.84502765484,,9.242276861048913,High,
140,,High income,2022,79.4267769342303,10324.5193124329,618.84502765484,6.0139105551006,9.242276861048913,High,Low Unemployment
141,IBD,IBRD only,2022,74.2512821129351,7699.23258826186,447.260654903885,5.56994264084484,8.948875939012906,High,Low Unemployment
142,IBT,IDA & IBRD total,2022,71.6775988813721,6036.81374407089,340.376152313893,5.38641759178597,8.705631625922086,High,Low Unemployment
143,IDB,IDA blend,2022,62.1288641416852,2234.83616206483,74.7290098121786,4.74456534673109,7.711923198796851,High,Low Unemployment
144,IDX,IDA only,2022,66.3600754986121,1332.31730178708,52.4741092390193,4.84321749828202,7.1946750372866175,High,Low Unemployment
145,IDA,IDA total,2022,64.8823000336808,1647.52732460307,60.2541339650288,4.80770011659382,7.407030851734159,High,Low Unemployment
146,LTE,Late-demographic dividend,2022,76.954367313865,12286.0846812169,757.7803277233,5.19342173027057,9.416222574197018,High,Low Unemployment
147,LCN,Latin America & Caribbean,2022,74.6472095421659,9408.84820249156,732.077211521163,6.93153209123053,9.149405823652216,High,Low Unemployment
148,LAC,Latin America & Caribbean (excluding high income),2022,74.4897262626476,9111.34927084769,712.698532152493,6.88224992720831,9.117276088051824,High,Low Unemployment
149,TLA,Latin America & the Caribbean (IDA & IBRD countries),2022,74.5684293540859,9174.55690452428,731.083036553733,7.01556949606688,9.124189377971769,High,Low Unemployment
150,LDC,Least developed countries: UN classification,2022,65.7632017862259,1299.36172423082,47.7666385033873,5.05048767454214,7.169628441517905,High,Low Unemployment
151,LMY,Low & middle income,2022,71.6849259477066,5741.78381882953,316.043878156198,5.4501372521796,8.6555252108656,High,Low Unemployment
152,,Low income,2022,63.4583410155387,46553.1150181383,5837.66878621092,4.50967085383543,10.74834919814921,High,Low Unemployment
153,,Low income,2022,63.4583410155387,46553.1150181383,5837.66878621092,5.672232196208,10.74834919814921,High,Low Unemployment
154,,Low income,2022,63.4583410155387,46553.1150181383,5837.66878621092,4.77300365505371,10.74834919814921,High,Low Unemployment
155,,Low income,2022,63.4583410155387,46553.1150181383,5837.66878621092,,10.74834919814921,High,
156,,Low income,2022,63.4583410155387,46553.1150181383,5837.66878621092,6.0139105551006,10.74834919814921,High,Low Unemployment
157,,Low income,2022,63.4583410155387,46553.1150181383,40.264442766294,4.50967085383543,10.74834919814921,High,Low Unemployment
158,,Low income,2022,63.4583410155387,46553.1150181383,40.264442766294,5.672232196208,10.74834919814921,High,Low Unemployment
159,,Low income,2022,63.4583410155387,46553.1150181383,40.264442766294,4.77300365505371,10.74834919814921,High,Low Unemployment
160,,Low income,2022,63.4583410155387,46553.1150181383,40.264442766294,,10.74834919814921,High,
161,,Low income,2022,63.4583410155387,46553.1150181383,40.264442766294,6.0139105551006,10.74834919814921,High,Low Unemployment
162,,Low income,2022,63.4583410155387,46553.1150181383,93.7196113288266,4.50967085383543,10.74834919814921,High,Low Unemployment
163,,Low income,2022,63.4583410155387,46553.1150181383,93.7196113288266,5.672232196208,10.74834919814921,High,Low Unemployment
164,,Low income,2022,63.4583410155387,46553.1150181383,93.7196113288266,4.77300365505371,10.74834919814921,High,Low Unemployment
165,,Low income,2022,63.4583410155387,46553.1150181383,93.7196113288266,,10.74834919814921,High,
166,,Low income,2022,63.4583410155387,46553.1150181383,93.7196113288266,6.0139105551006,10.74834919814921,High,Low Unemployment
167,,Low income,2022,63.4583410155387,46553.1150181383,,4.50967085383543,10.74834919814921,High,Low Unemployment
168,,Low income,2022,63.4583410155387,46553.1150181383,,5.672232196208,10.74834919814921,High,Low Unemployment
169,,Low income,2022,63.4583410155387,46553.1150181383,,4.77300365505371,10.74834919814921,High,Low Unemployment
170,,Low income,2022,63.4583410155387,46553.1150181383,,,10.74834919814921,High,
171,,Low income,2022,63.4583410155387,46553.1150181383,,6.0139105551006,10.74834919814921,High,Low Unemployment
172,,Low income,2022,63.4583410155387,46553.1150181383,618.84502765484,4.50967085383543,10.74834919814921,High,Low Unemployment
173,,Low income,2022,63.4583410155387,46553.1150181383,618.84502765484,5.672232196208,10.74834919814921,High,Low Unemployment
174,,Low income,2022,63.4583410155387,46553.1150181383,618.84502765484,4.77300365505371,10.74834919814921,High,Low Unemployment
175,,Low income,2022,63.4583410155387,46553.1150181383,618.84502765484,,10.74834919814921,High,
176,,Low income,2022,63.4583410155387,46553.1150181383,618.84502765484,6.0139105551006,10.74834919814921,High,Low Unemployment
177,,Low income,2022,63.4583410155387,734.204117595357,5837.66878621092,4.50967085383543,6.598787079321806,High,Low Unemployment
178,,Low income,2022,63.4583410155387,734.204117595357,5837.66878621092,5.672232196208,6.598787079321806,High,Low Unemployment
179,,Low income,2022,63.4583410155387,734.204117595357,5837.66878621092,4.77300365505371,6.598787079321806,High,Low Unemployment
180,,Low income,2022,63.4583410155387,734.204117595357,5837.66878621092,,6.598787079321806,High,
181,,Low income,2022,63.4583410155387,734.204117595357,5837.66878621092,6.0139105551006,6.598787079321806,High,Low Unemployment
182,,Low income,2022,63.4583410155387,734.204117595357,40.264442766294,4.50967085383543,6.598787079321806,High,Low Unemployment
183,,Low income,2022,63.4583410155387,734.204117595357,40.264442766294,5.672232196208,6.598787079321806,High,Low Unemployment
184,,Low income,2022,63.4583410155387,734.204117595357,40.264442766294,4.77300365505371,6.598787079321806,High,Low Unemployment
185,,Low income,2022,63.4583410155387,734.204117595357,40.264442766294,,6.598787079321806,High,
186,,Low income,2022,63.4583410155387,734.204117595357,40.264442766294,6.0139105551006,6.598787079321806,High,Low Unemployment
187,,Low income,2022,63.4583410155387,734.204117595357,93.7196113288266,4.50967085383543,6.598787079321806,High,Low Unemployment
188,,Low income,2022,63.4583410155387,734.204117595357,93.7196113288266,5.672232196208,6.598787079321806,High,Low Unemployment
189,,Low income,2022,63.4583410155387,734.204117595357,93.7196113288266,4.77300365505371,6.598787079321806,High,Low Unemployment
190,,Low income,2022,63.4583410155387,734.204117595357,93.7196113288266,,6.598787079321806,High,
191,,Low income,2022,63.4583410155387,734.204117595357,93.7196113288266,6.0139105551006,6.598787079321806,High,Low Unemployment
192,,Low income,2022,63.4583410155387,734.204117595357,,4.50967085383543,6.598787079321806,High,Low Unemployment
193,,Low income,2022,63.4583410155387,734.204117595357,,5.672232196208,6.598787079321806,High,Low Unemployment
194,,Low income,2022,63.4583410155387,734.204117595357,,4.77300365505371,6.598787079321806,High,Low Unemployment
195,,Low income,2022,63.4583410155387,734.204117595357,,,6.598787079321806,High,
196,,Low income,2022,63.4583410155387,734.204117595357,,6.0139105551006,6.598787079321806,High,Low Unemployment
197,,Low income,2022,63.4583410155387,734.204117595357,618.84502765484,4.50967085383543,6.598787079321806,High,Low Unemployment
198,,Low income,2022,63.4583410155387,734.204117595357,618.84502765484,5.672232196208,6.598787079321806,High,Low Unemployment
199,,Low income,2022,63.4583410155387,734.204117595357,618.84502765484,4.77300365505371,6.598787079321806,High,Low Unemployment
200,,Low income,2022,63.4583410155387,734.204117595357,618.84502765484,,6.598787079321806,High,
201,,Low income,2022,63.4583410155387,734.204117595357,618.84502765484,6.0139105551006,6.598787079321806,High,Low Unemployment
202,,Low income,2022,63.4583410155387,2493.61487371356,5837.66878621092,4.50967085383543,7.821488693190536,High,Low Unemployment
203,,Low income,2022,63.4583410155387,2493.61487371356,5837.66878621092,5.672232196208,7.821488693190536,High,Low Unemployment
